标题,简介,豆瓣评分,链接,创建时间,我的评分,标签,评论,可见性
彗星来的那一夜,2013 / 美国 英国 / 科幻 悬疑 惊悚 / 詹姆斯·沃德·布柯特 / 艾米丽·芭尔多尼 莫瑞·史特林,8.6,https://movie.douban.com/subject/25807345/,2020-08-05 00:58:37,5,,,public
老男孩,2003 / 韩国 / 剧情 动作 悬疑 惊悚 / 朴赞郁 / 崔岷植 刘智泰,8.2,https://movie.douban.com/subject/1308865/,2020-08-11 20:38:57,5,,,public
驴得水,2016 / 中国大陆 / 剧情 喜剧 / 周申 刘露 / 任素汐 大力,8.3,https://movie.douban.com/subject/25921812/,2021-01-16 01:45:35,5,,,public
疯狂的石头,2006 / 中国大陆 中国香港 / 喜剧 犯罪 / 宁浩 / 郭涛 刘桦,8.6,https://movie.douban.com/subject/1862151/,2022-08-01 16:56:09,5,,,public
幸福终点站,2004 / 美国 / 剧情 喜剧 爱情 / 史蒂文·斯皮尔伯格 / 汤姆·汉克斯 凯瑟琳·泽塔-琼斯,8.8,https://movie.douban.com/subject/1292274/,2022-12-03 12:31:17,5,,,public
心迷宫,2014 / 中国大陆 / 剧情 悬疑 犯罪 / 忻钰坤 / 霍卫民 王笑天,8.7,https://movie.douban.com/subject/25917973/,2020-08-03 02:08:37,5,,,public
去他*的世界 第二季,2019 / 英国 / 剧情 喜剧 爱情 冒险 / 戴斯特尼·埃卡拉加 露西·福布斯 / 杰西卡·巴登 埃里克斯·劳瑟,9.2,https://movie.douban.com/subject/27625457/,2020-08-03 01:54:43,5,,,public
去他*的世界 第一季,2017 / 英国 / 剧情 喜剧 爱情 犯罪 / 乔纳森·恩特威斯尔 露西·彻尼亚克 / 杰西卡·巴登 埃里克斯·劳瑟,9.1,https://movie.douban.com/subject/27031389/,2020-08-03 01:54:16,5,,,public
孤儿怨,2009 / 美国 加拿大 德国 法国 / 悬疑 惊悚 恐怖 / 佐米·希尔拉 / 维拉·法米加 彼得·萨斯加德,8.2,https://movie.douban.com/subject/3011308/,2020-08-18 10:16:09,5,,,public
荒岛余生,2000 / 美国 / 剧情 冒险 / 罗伯特·泽米吉斯 / 汤姆·汉克斯 海伦·亨特,8.6,https://movie.douban.com/subject/1298653/,2020-07-27 08:45:26,5,,,public
无人知晓,2004 / 日本 / 剧情 / 是枝裕和 / 柳乐优弥 北浦爱,9.1,https://movie.douban.com/subject/1292337/,2020-08-06 01:41:24,5,,,public
遗愿清单,2007 / 美国 / 剧情 喜剧 冒险 / 罗伯·莱纳 / 杰克·尼科尔森 摩根·弗里曼,8.7,https://movie.douban.com/subject/1867345/,2022-03-27 23:29:37,5,,,public
喜宴,1993 / 中国台湾 美国 / 剧情 喜剧 爱情 同性 家庭 / 李安 / 赵文瑄 归亚蕾,9.0,https://movie.douban.com/subject/1303037/,2020-11-05 13:28:41,5,,,public
电锯惊魂,2004 / 美国 / 悬疑 惊悚 恐怖 / 温子仁 / 雷·沃纳尔 加利·艾尔维斯,8.7,https://movie.douban.com/subject/1417598/,2020-07-25 19:31:37,5,,,public
时空恋旅人,2013 / 英国 美国 / 喜剧 爱情 奇幻 / 理查德·柯蒂斯 / 多姆纳尔·格里森 瑞秋·麦克亚当斯,8.8,https://movie.douban.com/subject/10577869/,2020-07-25 19:31:23,5,,,public
玩具总动员3,2010 / 美国 / 喜剧 动画 奇幻 冒险 / 李·昂克里奇 / 汤姆·汉克斯 蒂姆·艾伦,8.9,https://movie.douban.com/subject/1858711/,2020-07-25 19:31:00,5,,,public
怪兽电力公司,2001 / 美国 / 喜剧 动画 儿童 奇幻 冒险 / 彼特·道格特 大卫·西尔弗曼 李·昂克里奇 / 约翰·古德曼 比利·克里斯托,8.8,https://movie.douban.com/subject/1291579/,2020-07-25 19:26:52,5,,,public
神偷奶爸,2010 / 美国 法国 / 喜剧 动画 冒险 / 皮埃尔·柯芬 克里斯·雷纳德 / 史蒂夫·卡瑞尔 杰森·席格尔,8.7,https://movie.douban.com/subject/3287562/,2020-07-25 19:26:38,5,,,public
人生果实,2017 / 日本 / 纪录片 / 伏原健之 / 津端修一 津端英子,8.5,https://movie.douban.com/subject/26874505/,2020-07-25 19:26:30,5,,,public
功夫,2004 / 中国大陆 中国香港 / 喜剧 动作 犯罪 奇幻 / 周星驰 / 周星驰 元秋,8.9,https://movie.douban.com/subject/1291543/,2020-07-25 19:26:21,5,,,public
唐伯虎点秋香,1993 / 中国香港 / 喜剧 爱情 古装 / 李力持 / 周星驰 巩俐,8.8,https://movie.douban.com/subject/1306249/,2020-07-25 19:25:13,5,,,public
消失的爱人,2014 / 美国 / 剧情 悬疑 惊悚 犯罪 / 大卫·芬奇 / 本·阿弗莱克 裴淳华,8.7,https://movie.douban.com/subject/21318488/,2020-07-25 19:19:56,5,,,public
红辣椒,2006 / 日本 / 科幻 动画 悬疑 惊悚 / 今敏 / 林原惠美 江守彻,9.0,https://movie.douban.com/subject/1865703/,2021-03-13 22:21:51,5,,,public
杀人回忆,2003 / 韩国 / 剧情 动作 悬疑 惊悚 犯罪 / 奉俊昊 / 宋康昊 金相庆,8.9,https://movie.douban.com/subject/1300299/,2020-07-25 19:17:46,5,,,public
加勒比海盗,2003 / 美国 / 动作 奇幻 冒险 / 戈尔·维宾斯基 / 约翰尼·德普 杰弗里·拉什,8.8,https://movie.douban.com/subject/1298070/,2020-07-25 19:16:20,5,,,public
致命ID,2003 / 美国 / 剧情 悬疑 惊悚 / 詹姆斯·曼高德 / 约翰·库萨克 雷·利奥塔,8.9,https://movie.douban.com/subject/1297192/,2020-07-25 19:15:23,5,,,public
阿凡达,2009 / 美国 / 动作 科幻 冒险 / 詹姆斯·卡梅隆 / 萨姆·沃辛顿 佐伊·索尔达娜,8.8,https://movie.douban.com/subject/1652587/,2020-07-25 19:13:33,5,,,public
被嫌弃的松子的一生,2006 / 日本 / 剧情 歌舞 / 中岛哲也 / 中谷美纪 永山瑛太,8.8,https://movie.douban.com/subject/1787291/,2020-07-25 19:13:23,5,,,public
布达佩斯大饭店,2014 / 美国 德国 英国 / 剧情 喜剧 冒险 / 韦斯·安德森 / 拉尔夫·费因斯 托尼·雷沃罗利,8.9,https://movie.douban.com/subject/11525673/,2023-06-29 04:29:31,5,,,public
蝴蝶效应,2004 / 美国 加拿大 / 剧情 科幻 悬疑 惊悚 / 埃里克·布雷斯 J·麦基·格鲁伯 / 阿什顿·库彻 梅洛拉·沃尔特斯,8.9,https://movie.douban.com/subject/1292343/,2020-07-25 19:11:47,5,,,public
沉默的羔羊,1991 / 美国 / 剧情 惊悚 犯罪 / 乔纳森·戴米 / 朱迪·福斯特 安东尼·霍普金斯,8.9,https://movie.douban.com/subject/1293544/,2020-07-25 19:11:38,5,,,public
七宗罪,1995 / 美国 / 剧情 悬疑 惊悚 犯罪 / 大卫·芬奇 / 摩根·弗里曼 布拉德·皮特,8.8,https://movie.douban.com/subject/1292223/,2020-07-25 18:47:38,5,,,public
性爱自修室 第一季,2019 / 英国 / 剧情 喜剧 / 本·泰勒 凯特·赫伦 / 阿萨·巴特菲尔德 艾玛·麦基,9.2,https://movie.douban.com/subject/27594217/,2020-07-25 18:44:46,5,,,public
