标题,简介,豆瓣评分,链接,创建时间,我的评分,标签,评论,可见性
看不见的客人,2016 / 西班牙 / 剧情 悬疑 惊悚 犯罪 / 奥里奥尔·保罗 / 马里奥·卡萨斯 阿娜·瓦格纳,8.8,https://movie.douban.com/subject/26580232/,2020-01-14 19:16:31,,,,public
巨齿鲨,2018 / 美国 中国大陆 中国香港 / 动作 科幻 惊悚 / 乔·德特杜巴 / 杰森·斯坦森 李冰冰,5.7,https://movie.douban.com/subject/26426194/,2020-01-14 19:16:16,,,,public
密室逃生,2019 / 美国 南非 / 悬疑 惊悚 / 亚当·罗比特尔 / 泰勒·拉塞尔 洛根·米勒,7.1,https://movie.douban.com/subject/27109679/,2020-01-14 19:16:15,,,,public
侏罗纪世界2,2018 / 美国 / 动作 科幻 冒险 / J·A·巴亚纳 / 克里斯·帕拉特 布莱丝·达拉斯·霍华德,6.6,https://movie.douban.com/subject/26416062/,2020-01-14 19:16:09,,,,public
你的名字。,2016 / 日本 / 剧情 爱情 动画 / 新海诚 / 神木隆之介 上白石萌音,8.5,https://movie.douban.com/subject/26683290/,2020-01-14 19:15:52,,,,public
过春天,2018 / 中国大陆 / 剧情 / 白雪 / 黄尧 孙阳,7.7,https://movie.douban.com/subject/27191431/,2022-07-16 22:15:01,3,,,public
战狼2,2017 / 中国大陆 / 动作 战争 / 吴京 / 吴京 弗兰克·格里罗,7.1,https://movie.douban.com/subject/26363254/,2020-01-14 19:14:34,,,,public
利刃出鞘,2019 / 美国 / 剧情 喜剧 悬疑 犯罪 / 莱恩·约翰逊 / 丹尼尔·克雷格 安娜·德·阿玛斯,8.1,https://movie.douban.com/subject/30318116/,2020-07-25 17:20:55,4,,,public
后来的我们,2018 / 中国大陆 / 剧情 爱情 / 刘若英 / 井柏然 周冬雨,5.9,https://movie.douban.com/subject/26683723/,2020-01-14 19:12:35,,,,public
心理罪之城市之光,2017 / 中国大陆 中国香港 / 动作 悬疑 犯罪 / 徐纪周 / 邓超 阮经天,5.8,https://movie.douban.com/subject/26774722/,2020-01-14 19:12:15,,,,public
狄仁杰之四大天王,2018 / 中国大陆 中国香港 / 动作 悬疑 奇幻 武侠 古装 / 徐克 / 赵又廷 冯绍峰,6.1,https://movie.douban.com/subject/25882296/,2020-01-14 19:11:45,,,,public
毒液：致命守护者,2018 / 美国 中国大陆 / 动作 科幻 惊悚 / 鲁本·弗雷斯彻 / 汤姆·哈迪 米歇尔·威廉姆斯,7.2,https://movie.douban.com/subject/3168101/,2020-01-14 19:06:02,,,,public
阿丽塔：战斗天使,2019 / 美国 日本 加拿大 / 动作 科幻 冒险 / 罗伯特·罗德里格兹 / 罗莎·萨拉查 克里斯托弗·瓦尔兹,7.5,https://movie.douban.com/subject/1652592/,2020-01-14 19:06:01,,,,public
芳华,2017 / 中国大陆 / 剧情 历史 战争 / 冯小刚 / 黄轩 苗苗,7.7,https://movie.douban.com/subject/26862829/,2020-01-14 19:05:59,,,,public
头号玩家,2018 / 美国 / 动作 科幻 冒险 / 史蒂文·斯皮尔伯格 / 泰伊·谢里丹 奥利维亚·库克,8.6,https://movie.douban.com/subject/4920389/,2020-01-14 19:05:32,,,,public
复仇者联盟4：终局之战,2019 / 美国 / 剧情 动作 科幻 奇幻 冒险 / 安东尼·罗素 乔·罗素 / 小罗伯特·唐尼 克里斯·埃文斯,8.5,https://movie.douban.com/subject/26100958/,2020-01-14 19:05:31,,,,public
狗十三,2013 / 中国大陆 / 剧情 家庭 / 曹保平 / 张雪迎 果靖霖,8.2,https://movie.douban.com/subject/25716096/,2020-01-14 19:03:20,,,,public
无问西东,2018 / 中国大陆 / 剧情 爱情 战争 / 李芳芳 / 章子怡 黄晓明,7.5,https://movie.douban.com/subject/6874741/,2020-01-14 19:03:15,,,,public
一出好戏,2018 / 中国大陆 / 剧情 喜剧 / 黄渤 / 黄渤 舒淇,7.1,https://movie.douban.com/subject/26985127/,2020-01-14 19:02:29,,,,public
影,2018 / 中国大陆 中国香港 / 剧情 动作 武侠 古装 / 张艺谋 / 邓超 孙俪,7.2,https://movie.douban.com/subject/4864908/,2020-01-14 18:53:41,,,,public
误杀,2019 / 中国大陆 / 剧情 悬疑 犯罪 / 柯汶利 / 肖央 谭卓,7.5,https://movie.douban.com/subject/30176393/,2020-07-25 17:23:25,3,,,public
我不是药神,2018 / 中国大陆 / 剧情 喜剧 / 文牧野 / 徐峥 王传君,9.0,https://movie.douban.com/subject/26752088/,2020-01-14 18:53:18,,,,public
我和我的祖国,2019 / 中国大陆 / 剧情 / 陈凯歌 张一白 管虎 薛晓路 徐峥 宁浩 文牧野 / 黄渤 张译,7.6,https://movie.douban.com/subject/32659890/,2020-01-14 18:53:01,,,,public
白蛇：缘起,2019 / 中国大陆 美国 / 爱情 动画 奇幻 / 黄家康 赵霁 / 张喆 杨天翔,7.8,https://movie.douban.com/subject/30331149/,2020-01-14 18:53:00,,,,public
流浪地球,2019 / 中国大陆 / 科幻 冒险 灾难 / 郭帆 / 吴京 屈楚萧,7.9,https://movie.douban.com/subject/26266893/,2020-01-14 18:52:57,,,,public
哪吒之魔童降世,2019 / 中国大陆 / 剧情 喜剧 动画 奇幻 / 饺子 / 吕艳婷 囧森瑟夫,8.4,https://movie.douban.com/subject/26794435/,2020-01-14 18:52:26,5,,,public
